Source,Target,Weight,Type
Priests/Clergy,Do: appreciate,1,Target-to-Tactic
catholics,Act_on: forbid,1,Target-to-Tactic
Pope,Do: forbid,1,Target-to-Tactic
white american male,Do: appear,1,Target-to-Tactic
trump,Is: catholic,1,Target-to-Tactic
trump,Act_on: correct,1,Target-to-Tactic
muslims,Do: do,1,Target-to-Tactic
Topic 11,muslims,1,Topic-to-Target
catholics,Is: aware,1,Target-to-Tactic
trump,Do: claim,1,Target-to-Tactic
Jesus,Is: church,1,Target-to-Tactic
Jesus,Is: what,1,Target-to-Tactic
Priests/Clergy,Act_on: have,1,Target-to-Tactic
Jesus,Act_on: send,1,Target-to-Tactic
bishops,Do: witness,1,Target-to-Tactic
bishops,Is: traditionalist,1,Target-to-Tactic
bishops,Is: straight,1,Target-to-Tactic
catholic universities,Is: taught,1,Target-to-Tactic
catholic universities,Is: administration,1,Target-to-Tactic
catholic schools,Do: fail,1,Target-to-Tactic
catholic schools,Do: pass,1,Target-to-Tactic
catholic schools,Is: amazed,1,Target-to-Tactic
catholic schools,Do: work,1,Target-to-Tactic
catholic schools,Do: go,1,Target-to-Tactic
catholic schools,Is: lucky,1,Target-to-Tactic
Jesus,Do: remove,1,Target-to-Tactic
trump,Do: move,1,Target-to-Tactic
Jesus,Do: sort,1,Target-to-Tactic
gay people,Do: throw,1,Target-to-Tactic
Jesus,Do: fill,1,Target-to-Tactic
god,Act_on: ask,1,Target-to-Tactic
Jesus,Act_on: give,1,Target-to-Tactic
god,Do: give,1,Target-to-Tactic
god,Act_on: perfect,1,Target-to-Tactic
Jesus,Is: who,1,Target-to-Tactic
catholics,Do: honor,1,Target-to-Tactic
man,Is: corrupt,1,Target-to-Tactic
catholics,Is: one,1,Target-to-Tactic
Church (General),Do: treat,1,Target-to-Tactic
Priests/Clergy,Do: recall,1,Target-to-Tactic
evangelicals,Do: vote,1,Target-to-Tactic
catholics,Do: listen,1,Target-to-Tactic
trump,Do: choose,1,Target-to-Tactic
trump,Do: cross,1,Target-to-Tactic
catholics,Is: comfortable,1,Target-to-Tactic
Church (General),Act_on: do,1,Target-to-Tactic
Church (General),Do: grow,1,Target-to-Tactic
that person,Act_on: know,1,Target-to-Tactic
fundamentalist christian,Act_on: dear,1,Target-to-Tactic
christians,Do: witness,1,Target-to-Tactic
christians,Do: do,1,Target-to-Tactic
christians,Do: preach,1,Target-to-Tactic
catholic schools,Do: think,1,Target-to-Tactic
catholics,Do: reject,1,Target-to-Tactic
bishops,Do: forgave,1,Target-to-Tactic
catholics,Do: recommend,1,Target-to-Tactic
Church (General),Do: consider,1,Target-to-Tactic
catholics,Do: admire,1,Target-to-Tactic
catholics,Act_on: put,1,Target-to-Tactic
Christianity,Is: god,1,Target-to-Tactic
fundamentalist christian,Do: have,1,Target-to-Tactic
catholic universities,Do: keep,1,Target-to-Tactic
Priests/Clergy,Is: gay,1,Target-to-Tactic
bishops,Is: all,1,Target-to-Tactic
gay people,Do: experience,1,Target-to-Tactic
Priests/Clergy,Do: come,1,Target-to-Tactic
Church (General),Is: clergy,1,Target-to-Tactic
Jesus,Act_on: respect,1,Target-to-Tactic
catholics,Do: recall,1,Target-to-Tactic
Jesus,Do: pronounce,1,Target-to-Tactic
christians,Do: support,1,Target-to-Tactic
god,Act_on: lend,1,Target-to-Tactic
Priests/Clergy,Do: participate,1,Target-to-Tactic
Jesus,Do: become,1,Target-to-Tactic
god,Do: bind,1,Target-to-Tactic
Church (General),Do: practice,1,Target-to-Tactic
women,Do: prove,1,Target-to-Tactic
evangelicals,Is: first,1,Target-to-Tactic
trump,Is: sinner,1,Target-to-Tactic
