term_a,term_b,co_doc_count,pmi,tscore,score
脸,说,3,1.0387576168433188,1.1190882787843774,0.5457146342696435
真理,说,3,1.0387576168433188,1.1190882787843774,0.5457146342696435
宗教,欧洲,3,1.0352426747358756,1.1169299600210518,0.5453578640815732
喜欢,宗教,3,1.0352426747358756,1.1169299600210518,0.5453578640815732
基督,时,3,1.0352426747358756,1.1169299600210518,0.5453578640815732
人类,宗教,6,1.0352426747358756,1.5795774976826105,0.5661645947169727
只能,基督,4,1.0352426747358756,1.2897196261682242,0.5531287647077315
佛教,教义,3,1.0291210989950481,1.1131529021852318,0.5447357012684486
圣经,真,4,1.0286852741897188,1.2850467289719627,0.5524341119577579
世人,耶稣,4,1.0286852741897188,1.2850467289719627,0.5524341119577579
教会,这是,3,1.0221705931685274,1.1088362646585803,0.5440280258149802
中,神,3,1.0221705931685274,1.1088362646585803,0.5440280258149802
新教,邪教,3,1.0221705931685274,1.1088362646585803,0.5440280258149802
死,耶稣,11,1.018634938336221,2.1190330011446563,0.5891985506065741
传播,基督教,5,1.0164725720538916,1.4269039392867817,0.5579115384445941
信教,基督教,5,1.0164725720538916,1.4269039392867817,0.5579115384445941
上帝,干,3,1.016128278712567,1.1050592068227605,0.5434117192722613
上帝,方式,3,1.016128278712567,1.1050592068227605,0.5434117192722613
上帝,脑残,3,1.016128278712567,1.1050592068227605,0.5434117192722613
圣经,异端,5,1.015440047439703,1.426068026024165,0.5577976560302829
中国,时代,3,1.0092671883326243,1.100742569296109,0.5427106503358898
中国,道教,3,1.0092671883326243,1.100742569296109,0.5427106503358898
吃,说,8,1.0079859581765762,1.796183393705641,0.5738921706773279
一位,说,4,1.0079859581765762,1.2700934579439251,0.550232233700864
事,信仰,4,1.00542841202546,1.2682242990654204,0.5499592057608134
信仰,做,4,1.00542841202546,1.2682242990654204,0.5499592057608134
道德,里,3,1.0024528519128966,1.0964259317694576,0.5420130358455826
佛教,基督,6,1.0024528519128966,1.5505804228459246,0.5624378071746318
信,宗教,11,0.9995245921338093,2.0959265242704728,0.5867473988061054
基督教,皇帝,4,0.9939997162018415,1.2598130841121495,0.5487365102288547
发现,基督教,4,0.9939997162018415,1.2598130841121495,0.5487365102288547
基督教,心,4,0.9939997162018415,1.2598130841121495,0.5487365102288547
包括,基督教,4,0.9939997162018415,1.2598130841121495,0.5487365102288547
理性,耶稣,3,0.9923176300188573,1.0899509754794805,0.5409729891648736
中国,传教士,5,0.9764773655096455,1.3938853654134205,0.5534715169497575
信徒,没,4,0.9764773655096455,1.2467289719626167,0.5468534260910365
中国,佛教,5,0.9764773655096455,1.3938853654134205,0.5534715169497575
基督教,教,10,0.9720208094830745,1.9659318687327156,0.5788689914018479
牧师,说,7,0.9697647453563927,1.6425558873765482,0.5641590546991586
圣经,见,3,0.9641467530521715,1.071605265991212,0.538066501135569
一句,耶稣,5,0.9641467530521715,1.383436449630711,0.5520905408494714
伊斯兰,基督教,3,0.9576320720309802,1.0672886284645606,0.5373910268748239
基督教,民族,3,0.9576320720309802,1.0672886284645606,0.5373910268748239
中世纪,信仰,3,0.9495479536310244,1.0618928315562464,0.5365510605076196
信仰,教,3,0.9495479536310244,1.0618928315562464,0.5365510605076196
历史,新教,3,0.9311988149628351,1.0494824986671236,0.5346371906101887
两个,耶稣,6,0.9233247585319322,1.476561573920701,0.553262514746856
耶稣,邪恶,4,0.9233247585319322,1.205607476635514,0.5410768475643044
时,说,5,0.9209745811869796,1.3458203528129573,0.5472090220293969
红领巾,说,3,0.9209745811869796,1.042467962686315,0.5335663006158725
天堂,说,5,0.9209745811869796,1.3458203528129573,0.5472090220293969
发现,说,3,0.9209745811869796,1.042467962686315,0.5335663006158725
说,这是,5,0.9209745811869796,1.3458203528129573,0.5472090220293969
知识,说,3,0.9209745811869796,1.042467962686315,0.5335663006158725
心,说,3,0.9209745811869796,1.042467962686315,0.5335663006158725
一句,说,4,0.9209745811869796,1.2037383177570093,0.540819141200287
耶稣基督,说,3,0.9209745811869796,1.042467962686315,0.5335663006158725
基督徒,是因为,3,0.9131803094601639,1.0370721657780007,0.5327477497543207
东西,宗教,3,0.9100795317819168,1.034913847014675,0.5324215803683172
教义,神,3,0.9077602419908268,1.0332951079421806,0.5321774183256676
基督徒,道德,4,0.8954807323607701,1.183177570093458,0.5380108297876074
中国,更,4,0.8914841526762864,1.1799065420560748,0.5375684314274382
中,天主教,3,0.8886392005440562,1.019805615671395,0.5301579826725724
基督教,欧洲,6,0.8886392005440562,1.4422229326667313,0.5491554323831546
关系,基督教,4,0.8886392005440562,1.1775700934579438,0.5372531528094996
上帝,女人,6,0.8825968860880962,1.4361182853326921,0.5484344467407392
上帝,真理,3,0.8825968860880962,1.0154889781447436,0.5295174095157044
上帝,骂,3,0.8825968860880962,1.0154889781447436,0.5295174095157044
上帝,保护,3,0.8825968860880962,1.0154889781447436,0.5295174095157044
宗教,神,6,0.8810919949086765,1.4345921234991823,0.5482546205498531
中,信仰,4,0.8762166805455043,1.1672897196261682,0.5358729659294991
事,教会,5,0.8737505880503118,1.302770819788195,0.5417837729191914
牧师,神父,3,0.873601323179522,1.0090140218547665,0.5285615672634287
吃,圣经,5,0.8688365732478849,1.2981732968438031,0.5412139325890601
圣经,里,14,0.86236405874227,2.1620685140130336,0.5795878211861489
估计,耶稣,3,0.8587862373943876,0.9982224280381381,0.5269816129517205
主,耶稣,3,0.8587862373943876,0.9982224280381381,0.5269816129517205
耶稣,脸,3,0.8587862373943876,0.9982224280381381,0.5269816129517205
告诉,耶稣,3,0.8587862373943876,0.9982224280381381,0.5269816129517205
孩子,说,5,0.856436060049435,1.2864705111671686,0.5397714013126218
说,请,5,0.856436060049435,1.2864705111671686,0.5397714013126218
吃,没,3,0.8558493777210792,0.9960641092748124,0.5266675547516873
找,里,3,0.8558493777210792,0.9960641092748124,0.5266675547516873
基督,真的,3,0.852921117941992,0.9939057905114866,0.5263541319603042
宗教,教派,3,0.852921117941992,0.9939057905114866,0.5263541319603042
基督,道教,3,0.852921117941992,0.9939057905114866,0.5263541319603042
信,天主教,5,0.852921117941992,1.2831268581167017,0.5393613228731986
上帝,微博,4,0.8518252274213554,1.1467289719626168,0.5331461057238762
教义,没,5,0.846799542201165,1.2772754652783844,0.5386458706202065
修女,教堂,3,0.8355293752301303,0.9809558779315324,0.5244867332574152
人类,里,4,0.8333765218690302,1.1308411214953271,0.5310684842425857
天主教,神,3,0.8297987005211477,0.976639240404881,0.5238691858013104
罪,耶稣,4,0.828014578727647,1.1261682242990654,0.5304621586227176
一位,耶稣,4,0.828014578727647,1.1261682242990654,0.5304621586227176
历史,圣经,5,0.8243848106770701,1.2555417204503492,0.5360123083345533
主,基督教,3,0.8241006794065124,0.9723226028782296,0.5232540509767762
基督教,影响,3,0.8241006794065124,0.9723226028782296,0.5232540509767762
圣战,基督教,3,0.8241006794065124,0.9723226028782296,0.5232540509767762
基督教,至少,3,0.8241006794065124,0.9723226028782296,0.5232540509767762
中国,做,4,0.8200251886941717,1.1191588785046729,0.5295566248978105
中国,事,4,0.8200251886941717,1.1191588785046729,0.5295566248978105
确实,说,3,0.8156140655291975,0.9658476465882525,0.5223358127471296
说,逻辑,3,0.8156140655291975,0.9658476465882525,0.5223358127471296
穆斯林,说,3,0.8156140655291975,0.9658476465882525,0.5223358127471296
世界,说,6,0.8156140655291975,1.3659148409912427,0.5403281063883687
