lang,topic,n_docs,bias_harm,z_harm,bias_fairness,z_fairness,bias_loyalty,z_loyalty,bias_authority,z_authority,bias_sanctity,z_sanctity,bias_realistic_threat,z_realistic_threat,bias_symbolic_threat,z_symbolic_threat,topic_label,topic_short,row_label,dominant_negative_axis,dominant_negative_z,dominant_negative_axis_label,dominant_negative_raw_bias,pc1,pc2
jp,37,3,0.09047233333333334,0.8613635627108399,0.10285466666666666,0.8017281732596674,0.03663566666666667,0.5337038841317328,0.05001133333333333,0.656204325030326,0.11067566666666667,1.393730047941365,-0.007112666666666667,0.5018521481577222,-0.04646433333333333,-0.04145422349485824,Religious Beliefs and Social Phenomena,Religious Beliefs and Social…,JP · T37 · Religious Beliefs and Social…,symbolic_threat,-0.04145422349485824,Symbolic Threat,-0.04646433333333333,,
jp,2,42,0.0801870238095238,0.4479077621367342,0.09635859523809524,0.5134556070458965,0.03788066666666667,0.5851102879232576,0.05163614285714286,0.7221385436771988,0.09472921428571428,0.7336922329091203,-0.015494857142857144,0.1304550242173227,-0.03625819047619047,0.3588931694201613,Women and Ordination,Women and Ordination,JP · T2 · Women and Ordination,realistic_threat,0.1304550242173227,Realistic Threat,-0.015494857142857144,1.4060389795316954,-0.0859940261730067
jp,34,11,0.10230572727272726,1.3370503034350758,0.09685790909090909,0.5356133815222756,0.04995863636363636,1.083813088906571,0.060067636363636365,1.0642856866071675,0.09247427272727272,0.6403582007555509,-0.013483636363636364,0.21956796135869439,-0.02619818181818182,0.7535082845826548,Church-State Relations and Charities,Church-State Relations and C…,JP · T34 · Church-State Relations and C…,realistic_threat,0.21956796135869439,Realistic Threat,-0.013483636363636364,2.2770918178692225,-0.09024867762534489
jp,33,9,0.10094744444444444,1.2824491353444403,0.11046044444444444,1.1392455639103174,0.05785833333333333,1.4099938216414525,0.05910288888888889,1.0251365617362849,0.08303833333333334,0.24979629572696233,0.007400777777777778,1.144912162177493,-0.026765555555555556,0.7312524138050813,Healthcare Rights and Institutions,Healthcare Rights and Instit…,JP · T33 · Healthcare Rights and Instit…,sanctity,0.24979629572696233,Sanctity,0.08303833333333334,2.576872154034315,0.5707044627217057
jp,5,16,0.083823625,0.5940943064596297,0.1012713125,0.7314645417911563,0.0410785625,0.7171523156273283,0.0476578125,0.5606992489330727,0.0982065625,0.8776227613196246,-0.012475625,0.26423081200819787,-0.0318423125,0.5321109324814964,Catholic-Lutheran Communion Disputes,Catholic-Lutheran Communion …,JP · T5 · Catholic-Lutheran Communion …,realistic_threat,0.26423081200819787,Realistic Threat,-0.012475625,1.6785651868282543,0.05595919244829377
jp,35,5,0.1022872,1.336305531645741,0.09573380000000001,0.48572941458876284,0.0473018,0.9741115604591031,0.0466316,0.5190558942126297,0.08897279999999999,0.49542913734426614,-0.009435,0.3989544720334602,-0.021115000000000002,0.9529017887797749,"The Poor, Wealth, and Relief","The Poor, Wealth, and Relief","JP · T35 · The Poor, Wealth, and Relief",realistic_threat,0.3989544720334602,Realistic Threat,-0.009435,2.0090590840830935,0.24919553650992574
zh,23,1,0.125883,-2.410747510104815,0.131832,-2.6889321526894783,0.058346,-2.1351916091468226,0.059781,-2.46171553795048,0.118652,-2.2167028212522415,-0.006115,0.2971159051404203,-0.058032,-0.4366136122385961,Historical Critiques of Christian Violence,Historical Critiques of Chri…,ZH · T23 · Historical Critiques of Chri…,fairness,-2.6889321526894783,Fairness,0.131832,,
zh,16,2,0.1610685,-0.7362930635041095,0.180035,-0.08906060349959635,0.1124445,0.1895781348515179,0.1092715,-0.3438363479772706,0.157316,-0.4829297981850388,-0.046686500000000006,-1.6623074151473864,-0.031828999999999996,0.5881231254041672,Canadian Immigration and Cultural Disputes,Canadian Immigration and Cul…,ZH · T16 · Canadian Immigration and Cul…,realistic_threat,-1.6623074151473864,Realistic Threat,-0.046686500000000006,,
zh,42,12,0.16133058333333333,-0.7238206927013661,0.16474750000000002,-0.9136054722471912,0.08085166666666667,-1.1680577156899126,0.08076058333333333,-1.5639225684719855,0.15529791666666667,-0.5734247920199986,-0.011970083333333333,0.014341375592294167,-0.0733735,-1.0365830302650225,Faith and Heresy Debates,Faith and Heresy Debates,ZH · T42 · Faith and Heresy Debates,authority,-1.5639225684719855,Authority,0.08076058333333333,-2.377477298833625,-0.08413343617339986
zh,31,1,0.164495,-0.5732282168690663,0.180197,-0.0803229898454929,0.079905,-1.2087387331731778,0.093926,-1.0005263209970197,0.159967,-0.3640535235070146,-0.042468,-1.458572594481793,-0.06062,-0.5378241101594247,Antisemitism and Religious Persecution,Antisemitism and Religious P…,ZH · T31 · Antisemitism and Religious P…,realistic_threat,-1.458572594481793,Realistic Threat,-0.042468,,
zh,39,15,0.1623064,-0.6773822292272909,0.16175,-1.0752782927914866,0.0853232,-0.975902935009979,0.09819346666666666,-0.817905841364814,0.15193146666666665,-0.7243833114050748,-0.0342142,-1.059950699777592,-0.0816172,-1.3589744451452137,Religious Controversies and Social Critiques,Religious Controversies and …,ZH · T39 · Religious Controversies and …,symbolic_threat,-1.3589744451452137,Symbolic Threat,-0.0816172,-2.318342881378514,-1.1168541381083195
zh,46,5,0.1502774,-1.2498343057406238,0.1595494,-1.1939696051817372,0.0900152,-0.7742740610330626,0.1053844,-0.5101795491844692,0.14179760000000002,-1.1788066676544697,-0.017593,-0.2572205347314958,-0.0651084,-0.7133547125040332,Religious Beliefs and Social Controversies,Religious Beliefs and Social…,ZH · T46 · Religious Beliefs and Social…,harm,-1.2498343057406238,Harm,0.1502774,-2.2937442338057283,0.04340982227998918
zh,40,14,0.18989271428571428,0.6354320442955762,0.17483585714285715,-0.3694809838588999,0.10720992857142857,-0.03536661001092805,0.12032185714285715,0.12904878017114083,0.17323607142857142,0.2309588415873607,-0.02529007142857143,-0.6289549112042375,-0.0786315,-1.2422108502293645,Critique of Money and Religious Manipulation,Critique of Money and Religi…,ZH · T40 · Critique of Money and Religi…,symbolic_threat,-1.2422108502293645,Symbolic Threat,-0.0786315,-0.16278379061176612,-1.4279167530192645
